date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:45:34	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2004%20Sep%202024%2004:45:33%20GMT	https://www.bstrust369.com/robots.txt		(from )
06:45:34	84751/84751	U--M-Z	200	updated ('OK')	text/html	date:Wed,%2004%20Sep%202024%2004:45:33%20GMT	https://www.bstrust369.com/	C:/My%20Web%20Sites/BS/www.bstrust369.com/index.html	(from )
06:46:09	13188/13188	U-----	200	untouched ('')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/BS/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.bstrust369.com/)
06:46:41	1787/1787	U-----	200	untouched ('')	image/png	etag:%226ca41f5c491cf1ec32c125bd66c09b9c%22	https://cdn.prod.website-files.com/6546b155bb41482792fde091/6546b64ef033546e8f85e5f9_Webclip.png	C:/My%20Web%20Sites/BS/cdn.prod.website-files.com/6546b155bb41482792fde091/6546b64ef033546e8f85e5f9_Webclip.png	(from https://www.bstrust369.com/)
06:46:41	179217/179217	U-----	200	untouched ('OK')	text/css	etag:%2212bbef60fd22419f57258fad16e0ce57%22	https://cdn.prod.website-files.com/65e725860dff8ddbac53ef69/css/b-s-trust-real-estate.webflow.f078acd7a.css	C:/My%20Web%20Sites/BS/cdn.prod.website-files.com/65e725860dff8ddbac53ef69/css/b-s-trust-real-estate.webflow.f078acd7a.css	(from https://www.bstrust369.com/)
06:46:41	449/449	U-----	200	untouched ('')	image/png	etag:%220fcfc7bb50fe1467b766ea6381f6960c%22	https://cdn.prod.website-files.com/6546b155bb41482792fde091/6546b6403044e511378d387c_Favicon.png	C:/My%20Web%20Sites/BS/cdn.prod.website-files.com/6546b155bb41482792fde091/6546b6403044e511378d387c_Favicon.png	(from https://www.bstrust369.com/)
06:47:03	39412/39412	U--M-Z	200	updated ('OK')	text/html	date:Wed,%2004%20Sep%202024%2004:46:42%20GMT	https://www.bstrust369.com/about	C:/My%20Web%20Sites/BS/www.bstrust369.com/about.html	(from https://www.bstrust369.com/)
06:47:03	48457/48457	U--M-Z	200	updated ('OK')	text/html	date:Wed,%2004%20Sep%202024%2004:46:42%20GMT	https://www.bstrust369.com/catalog	C:/My%20Web%20Sites/BS/www.bstrust369.com/catalog.html	(from https://www.bstrust369.com/)
06:47:03	33940/33940	U--M-Z	200	updated ('OK')	text/html	date:Wed,%2004%20Sep%202024%2004:46:42%20GMT	https://www.bstrust369.com/blog	C:/My%20Web%20Sites/BS/www.bstrust369.com/blog.html	(from https://www.bstrust369.com/)
06:47:20	19618/19618	U-----	200	untouched ('')	image/webp	etag:%22c6f26f2b17a0c0ea7d0fef92ab023970%22	https://cdn.prod.website-files.com/65e725860dff8ddbac53ef69/65e72e89aa30683deed6904b_logo-removebg-preview.webp	C:/My%20Web%20Sites/BS/cdn.prod.website-files.com/65e725860dff8ddbac53ef69/65e72e89aa30683deed6904b_logo-removebg-preview.webp	(from https://www.bstrust369.com/)
06:47:25	33752/33752	U--M-Z	200	updated ('OK')	text/html	date:Wed,%2004%20Sep%202024%2004:47:04%20GMT	https://www.bstrust369.com/faq	C:/My%20Web%20Sites/BS/www.bstrust369.com/faq.html	(from https://www.bstrust369.com/)
06:47:25	17001/17001	U--M-Z	200	updated ('OK')	text/html	date:Wed,%2004%20Sep%202024%2004:47:04%20GMT	https://www.bstrust369.com/contact	C:/My%20Web%20Sites/BS/www.bstrust369.com/contact.html	(from https://www.bstrust369.com/)
06:47:25	21663/21663	U--M-Z	200	updated ('OK')	text/html	date:Wed,%2004%20Sep%202024%2004:47:04%20GMT	https://www.bstrust369.com/contactform	C:/My%20Web%20Sites/BS/www.bstrust369.com/contactform.html	(from https://www.bstrust369.com/)
06:47:27	213/213	---MCZ	403	error ('Forbidden')	application/xml	date:Wed,%2004%20Sep%202024%2004:47:26%20GMT	https://cdn.prod.website-files.com/robots.txt		(from https://www.bstrust369.com/)
06:47:47	31335/31335	U--M-Z	200	updated ('OK')	text/html	date:Wed,%2004%20Sep%202024%2004:47:26%20GMT	https://www.bstrust369.com/blog-posts/navigating-the-real-estate-market	C:/My%20Web%20Sites/BS/www.bstrust369.com/blog-posts/navigating-the-real-estate-market.html	(from https://www.bstrust369.com/)
06:47:47	32629/32629	U--M-Z	200	updated ('OK')	text/html	date:Wed,%2004%20Sep%202024%2004:47:28%20GMT	https://www.bstrust369.com/blog-posts/the-future-of-real-estate	C:/My%20Web%20Sites/BS/www.bstrust369.com/blog-posts/the-future-of-real-estate.html	(from https://www.bstrust369.com/)
06:47:47	1124100/1124100	U-----	200	untouched ('')	image/jpeg	etag:%223223173f9965d01502fac621ba2baf5f%22	https://cdn.prod.website-files.com/65e725860dff8ddbac53ef69/65e77ce861d6d87a8749617a_jpeg-optimizer_HDAlbania.jpg	C:/My%20Web%20Sites/BS/cdn.prod.website-files.com/65e725860dff8ddbac53ef69/65e77ce861d6d87a8749617a_jpeg-optimizer_HDAlbania.jpg	(from https://www.bstrust369.com/)
06:47:47	257398/257398	U-----	200	untouched ('')	image/jpeg	etag:%22ef23ee5f2aa42e700422259a4da9141b%22	https://cdn.prod.website-files.com/65e725860dff8ddbac53ef69/65e781e41341c84f6c60209c_balcony.jpg	C:/My%20Web%20Sites/BS/cdn.prod.website-files.com/65e725860dff8ddbac53ef69/65e781e41341c84f6c60209c_balcony.jpg	(from https://www.bstrust369.com/)
06:47:48	417068/417068	U-----	200	untouched ('')	image/webp	etag:%220ef7e660a130c994a272dcf0fa0f55c7%22	https://cdn.prod.website-files.com/65e725860dff8ddbac53ef69/65e780f8a37e295c45727492_albania-194.webp	C:/My%20Web%20Sites/BS/cdn.prod.website-files.com/65e725860dff8ddbac53ef69/65e780f8a37e295c45727492_albania-194.webp	(from https://www.bstrust369.com/)
06:47:48	274183/274183	U-----	200	untouched ('')	image/jpeg	etag:%22b0f0e42a324a0d346e4d202e358de333%22	https://cdn.prod.website-files.com/65e725860dff8ddbac53ef69/65e7983f07add0997b99b124_Ceremonia_e_Marrjes_se_Nuses_-_Valbon%c3%ab.JPG	C:/My%20Web%20Sites/BS/cdn.prod.website-files.com/65e725860dff8ddbac53ef69/65e7983f07add0997b99b124_Ceremonia_e_Marrjes_se_Nuses_-_Valbon%c3%ab.jpg	(from https://www.bstrust369.com/)
06:47:48	194557/194557	U-----	200	untouched ('')	image/jpeg	etag:%22d765a0d7bb9a40c985c4859fb26ef2cb%22	https://cdn.prod.website-files.com/65e725860dff8ddbac53ef69/65e769f36633e9a708dac3c0_mountain-view-ezgif.com-optijpeg.jpg	C:/My%20Web%20Sites/BS/cdn.prod.website-files.com/65e725860dff8ddbac53ef69/65e769f36633e9a708dac3c0_mountain-view-ezgif.com-optijpeg.jpg	(from https://www.bstrust369.com/)
06:47:48	35201/35201	U--M-Z	200	updated ('OK')	text/html	date:Wed,%2004%20Sep%202024%2004:47:48%20GMT	https://www.bstrust369.com/blog-posts/turizm	C:/My%20Web%20Sites/BS/www.bstrust369.com/blog-posts/turizm.html	(from https://www.bstrust369.com/)
